TIPO DE INTERVENCIÓN,DESCRIPTORES CONSTRUCTIVOS,BIOMA DISEÑADO,SITIO / CONTEXTO CLIMÁTICO,ELEMENTOS NATURALES DESTACADOS,SEÑALES DE USO HUMANO,FAUNA URBANA,MEDIO,TIPO DE VISTA,TIPO DE LUZ
Planta de tratamiento de aguas con vivienda modular,ordenado en teselación semirregular rhombitrihexagonal,humedal diseñado,"en mérida, yucatán, con vegetación tropical, bugambilias y ceibas","espejos de agua, plataformas flotantes","ropa tendida al sol, puestos efímeros, huertos urbanos","aves acuáticas, mariposas, tortugas",. Fotografía de arquitectura,vista top down,luz dorada de amanecer
Escuelas preescolares integradas a ecosistemas locales,de muros gruesos con ventanas verticales,corredor forestal urbano,"en hermosillo, sonora, con suelo seco, cactáceas","terrazas verdes, árboles frutales, pozos filtrantes","juegos infantiles, mercados vecinales, talleres al aire libre","colibríes, insectos polinizadores",. Fotografía con estética cinematográfica,vista frontal,bruma en el horizonte
Iglesias convertidas en centros sociales,con cubiertas en forma de hiperboloide parabólico,jardín xerófilo con especies nativas,"en la periferia de guadalajara, rodeado de barrancas y vegetación mixta","vegetación salina, dunas, refugios para fauna","bancas, bicicletas estacionadas, herramientas de jardinería","garzas, patos, libélulas",. Foto digital tipo dslr,vista interior,medio día en invierno con cielo azul despejado
Edificios de oficinas convertidos en parques verticales,ordenado en armonía con la topografía,sistema de terrazas con filtración ecológica,"en tláhuac, cdmx, entre canales, chinampas y ruinas industriales transformadas en vivienda","corredores de viento, lomas vegetadas, taludes habitables","cocinas abiertas, gallineros urbanos",luciérnagas,. Encuadre gran angular con líneas verticales corregidas,vista satelital,rayos de sol filtrándose entre ramas
Edificios de oficinas convertidos en espacios de producción,elevadas sobre pilotes de madera,malecón costero natural esculpido,"en caracol colonia el salado, al norte de texcoco","pastizales nativos, cuerpos de agua intermitentes","corredores de viento, lomas vegetadas, taludes habitados",tlacuaches,. Ilustración técnica a mano con toques digitales,vista de dron 4k,luz difusa de tormenta en formación
Viviendas suspendidas en zonas costeras,ordenadas en gradientes fractales,granjas de algas de aguas saladas,"en el istmo de tehuantepec, con vientos constantes",cenotes urbanos,"hamacas colgadas, faroles solares, andadores con sombra",perritos,. Render atmosférico con estilo de acuarela,vista en isométrico de un masterplan,contraluz al atardecer
Viviendas suspendidas en bosques,que se orientan al sur,bosques urbanos regenerativos,"en la sierra norte de puebla, entre neblina",muros verdes que filtran el aire,letreros pintados a mano,"aves migratorias, abejorros, caracoles",. Fotografía documental urbana tipo leica,vista desde el nivel de niño,luz cenital intensa 
Oficinas convertidas en parques productivos,con pretiles vegetados,pastizales para polinizadores,"en la cuenca de xochimilco, entre canales y chinampas",jardines comestibles en azoteas,cuerdas con utensilios de cocina,"ardillas, zorrillos, zanates",. Collage digital con texturas físicas,vista de close up,iluminación nocturna tenue y cálida
Periférico convertido en anillo verde,construido con material de demolición,laderas reforestadas con especies endémicas,"en el bajío, con aire seco, nopales, magueyes",laderas reforestadas con jacarandas,pizarrones comunitarios,"iguanas, gaviotas",. Fotografía con película caducada,vista desde el interior hacia el paisaje,penumbra con luces artificiales frías
Pequeñas industrias que se mezclan con vivienda,construido con materiales reciclados,arrecifes artificiales costeros,"en tulum, con selva maya de vegetación densa",canales reintroducidos,senderos pisoteados,osos negros,. Axonometría digital ambientada a mano con tinta,vista desde una pasarela elevada,rayos de luna sobre superficies húmedas
Casetas de acceso a fraccionamientos convertidas en paradas de transporte,con muros de tierra compactada,biotopos urbanos con microclimas,"en la mixteca oaxaqueña, con suelos erosionados y lluvias estacionales",paisaje desértico reforestado con yucas,canastas con frutas locales,gatitos grises,. Fotomontaje tipo collage con revistas de National Geographic,vista a través de ramas,destellos intermitentes de neón
Casetas de acceso a fraccionamientos convertidas en estaciones de wifi y carga,subterráneo con iluminación natural,selvas comestibles comunitarias,"en la costa de veracruz, entre manglares y calor húmedo",espacios entre raíces aéreas,fogones encendidos,coyotes carroñeros,. Dibujo de línea fina monocromático,zoom a un detalle,claroscuros proyectados por celosías
Campo de golf convertido en parque público,con estructura tensegrítica,tejados vivos multifuncionales,"en la huasteca potosina, con aguas azules y selva húmeda",rocas volcánicas emergentes en el paisaje,cestos de reciclaje hechos a mano,nubes de murciélagos,. Acuarela con detalle arquitectónico,vista desde dentro de una cueva,sombras largas de invierno
Vivienda social construida con el material de demolición,con estructuras efímeras de sombras textiles tensados,barrancas restauradas como corredores biológicos,"en el valle de méxico, con contaminación y niebla matutina",bosques miniatura en patios,muebles reutilizados o reparados,insectos nocturnos,. Modelado 3d con estética low poly,vista desde un balcón ,iluminación profesional de estudio
Vivienda de interés social en jardines de Residencias,basado en módulos hexagonales ,jardines de lluvia,"en la montaña de chiapas, entre cafetales y selva con neblina",árboles monumentales conservados,lavaderos comunales,palomas y ratas,. Grabado escheriano,vista desde el reflejo del agua,lluvia con iluminación cenital
Colonias con vivienda de distintos ingresos,hecho con costales rellenos de tierra,dunas urbanas estabilizadas,"en las dunas de coahuila, con luz intensa y arena blanca",arroyos restaurados entre calles,sillas distintas en cada porche,perros callejeros,. Técnica digital mixta con tinta,vista encuadrada entre columnas,niebla iluminada desde atrás
Red peatonal elevada que conecta un segundo piso en un distrito de torres de oficinas,con sistema constructivo minimalista,campos de flores nativas silvestres,"en la costa del pacífico, con mares intensos y acantilados",cúpulas vivas cubiertas de musgo,baños secos compartidos,bancos de peces,. Trampantojo escheriano,vista entre el follaje,claridad posterior a una tormenta
Parques inundables como puntos de absorción,con estructuras neumáticas inflables,bosques urbanos con manejo ancestral,"en el desierto de Baja California Sur, con el Mar de Cortéz",grietas húmedas con vegetación espontánea,techos con plantas y colgantes,cacomixtles en árboles,. Fotomontaje de maquetas fisicas en el contexto real,vista desde la azotea de un edificio vecino,noche iluminada por relámpagos lejanos
Plazas acondicionadas para campamentos migrantes,cubierto con mosaicos hechos de vidrio recuperado,manglares reintroducidos en bordes urbanos,en un pueblo minero de Sonora,brumas activadas por sensores,estaciones de reparación de bicicletas,pajaritos urbanos,. Fotografía de objeto de maquetas físicas ,vista desde una barca,luz de velas y arbotantes cálidos
Vivienda de emergencia compostable con materiales naturales,techos invertidos para captación pluvial,islas flotantes verdes en lagos,"en el centro histórico de puebla, en patios olvidados",lianas colgantes sobre estructuras,pintura desgastada por el uso,zopilotes en azoteas,. Dioramas renderizados,vista panorámica fisheye,tiras suspendidas de fairy lights
Camellones comestibles,apoyado en una grilla ortogonal rota por la topografía,microbosques en terrenos baldíos ,"en la periferia de monterrey, con industria masiva en el horizonte cercano",jardines cubresuelos de suculentas ,recipientes de composta comunitaria,panales de abejas,. Estilo blueprint ,vista desde una ventana deteriorada,reflejos del sol sobre polvo en suspensión
Estacionamientos reconvertidos en mercados locales,enmarcado por arcos parabólicos autoportantes,biomas anfibios con transición tierra-agua,en el puerto de Tampico,macizos florales silvestres,cortinas ligeras de telas recicladas,nidos de golondrinas,. Proyección arquitectónica con sombras largas,vista cenital ,luz filtrada por textiles colgantes
Puentes peatonales como espacios de reunión y cultivo,integrado a la vegetación como ruina activa,musgos y líquenes en muros húmedos,en un cráter volcánico habitado,arenales costeros regenerativos,ollas solares y recolectores de agua de lluvia,insectos entre adoquines,. Imágenes de archivo intervenidas,vista paralela,chispas solares entre ramas cerradas
Centros comerciales convertidos en escuelas públicas,con cimentación expuesta,áreas de amortiguamiento con flora regenerativa,en los humedales de la laguna de zumpango,luminiscencia natural con luciérnagas,murales participativos con mensajes locales,ranas arborícolas,. Foto con textura de película antigua,vista en picada dramática,penumbra con iluminación puntual
Rellenos sanitarios transformados en bosques productivos,construído con impresión 3d de barro crudo y fibras,jardines verticales con ciclo hidrológico cerrado,"en una comunidad en la periferia de Salina Cruz, Oaxaca",luminiscencia natural con reflejos en el agua,jardines cuidados por vecinos,caballos,. Boceto técnico digital,vista desde abajo,spot de luz puntual
