tipo_espacio_publico,condicion_estructural_funcional,sistema_de_soporte,entorno_geografico,tipo_de_cubierta,elementos_constructivos,mobiliario,objetos_funcionales,elementos_secundarios,punto_de_vista,estilo_visual,luz_atmosfera
comedor comunitario,emergente,sobre pilotes de madera,zona costera,lonas tensadas,estructuras recicladas,mesas desalineadas,platos de barro,bicicletas estacionadas,vista oblicua desde altura media,fotografía editorial,luz cálida filtrada por nubes
mercado flotante,modular,sobre plataformas flotantes,ribera pantanosa,techos textiles,postes metálicos,bancos diversos,botiquines,motocicletas al fondo,vista cenital inclinada,render arquitectónico,niebla matinal
centro de salud móvil,improvisado,sobre llantas apiladas,selva húmeda,hojas de palma,columnas de bambú,tapetes extendidos,libros abiertos,árboles cercanos,desde el suelo mirando hacia arriba,ilustración cómic,sombras extendidas al atardecer
refugio vecinal,abierto,sobre tarimas recicladas,planicie agrícola,plásticos reciclados,tubos de PVC,camillas ordenadas,contenedores de agua,toldos vecinos,frontal desde el nivel del agua,dibujo técnico,cielo encapotado
aula temporal,desmontable,sobre estructura metálica,cerro habitado,toldos coloridos,vigas improvisadas,sillas improvisadas,cestas tejidas,perros dormidos,lateral panorámica,acuarela suelta,reflejos sobre agua estancada
biblioteca al aire libre,portátil,sobre bloques de concreto,barrio densificado,redes de sombra,tensores textiles,hileras de bancas,herramientas agrícolas,antenas improvisadas,perspectiva levemente ascendente,foto de prensa,contraluz difuso
auditorio improvisado,autoconstruido,sobre andamios,borde urbano,techos inclinados,pilares de concreto,círculos de taburetes,termos de café,caminos de tierra,desde un árbol cercano,collage analógico,sol suave de invierno
espacio ceremonial,comunitario,sobre suelo compactado,isla tropical,láminas onduladas,estacas de madera,plataformas de madera,radios portátiles,casas de fondo,aérea desde baja altura,croquis digital,nublado brillante
cocina pública,de emergencia,sobre contenedores,manglar,paneles solares,bastidores modulares,alfombras comunitarias,velas encendidas,mantas secándose,en picado vertical,cine documental,atmósfera húmeda
lavandería comunitaria,temporal,sobre bambú,bosque seco,techos ligeros,marcos desmontables,escritorios compartidos,garrafones,señales pintadas,a nivel de usuario,fotomontaje,cielo despejado y dorado
estación de recarga,en uso,sobre sacos de arena,cauce seco,marquesinas flotantes,piezas reutilizadas,colchonetas dobladas,bolsas colgadas,techos vecinos,en escorzo,estilización vintage,reflejo desde charcos
centro de acopio,activo,sobre muros bajos,duna costera,parasoles gigantes,troncos apilados,muebles híbridos,cajas clasificadas,plantas locales,desde una esquina elevada,impresión risográfica,humo ligero en el aire
sala de lectura,de transición,sobre columnas de acero,plaza abandonada,estructuras tensadas,bastidores colapsables,bultos usados como asiento,filtros de agua,muros con grafiti,mirando entre objetos,animación cuadro a cuadro,bruma costera
huerto colectivo,multifuncional,sobre estructuras prefabricadas,cantera rural,domos inflables,módulos plegables,hamacas colgadas,lámparas solares,barcas atadas,desde un dron,plano técnico iluminado,resplandor de media tarde
centro de reunión vecinal,adaptable,sobre redes tensadas,callejón estrecho,coberturas mixtas,marcos de pérgola,estructuras niveladas,termos metálicos,ropa colgada,desde sombra adyacente,fotograma cinematográfico,luminosidad tenue por lluvia
